7.63140840512426E+017,"Y #NadieMenos es la versión edulcorada del ""ay kozas mas hinportanthes por laz qe marchar"" https://twitter.com/Lauletras/status/763138692634513408#tweet_763138692634513408 …",637108769,637108769,CROGMIE,1470781929000,0,0,
7.63131778018189E+017,"Que te digan #NadieMenos el día de #NiUnaMenos es como querer recordarle a la gente el día de la independencia un 25 de mayo, ya lo sabemos.",249775024,249775024,Mother Of Madness,1470779768000,0,0,
7.63129239877067E+017,"""#NadieMenos""??????????????

es¿¿¿en???s?er¿¿¿io????",7.58881040286888E+017,7.58881040286888E+017,alli,1470779163000,0,0,
7.6311946948923E+017,"si decir #NadieMenos está mal, ¿qué pueden hacer los hombres en la marcha #NiUnaMenos? http://pasajero.utero.pe/2016/08/09/que-hacemos-los-hombres-en-niunamenos/ …pic.twitter.com/0x2LIevXqQ",7.43155212756587E+017,7.43155212756587E+017,Petrita,1470776834000,0,0,
7.63114764130132E+017,"#RT si decir #NadieMenos está mal, ¿qué pueden hacer los hombres en la marcha #NiUnaMenos?  http... http://bit.ly/2b0KfUp  @paolamiglio",3835620255,3835620255,CIVITAS Global,1470775712000,0,0,
7.63110415433867E+017,Lamentamos que la marcha #NiUnaMenos tenga una vocera que promueva el aborto. #XTOMANIA .  #NadieMenos  pic.twitter.com/12WOns3Tb7,188564996,188564996,XTOMANIA,1470774675000,6,6,
7.63108909997363E+017,"si decir #NadieMenos está mal, ¿qué pueden hacer los hombres en la marcha #NiUnaMenos?  http://pasaj... http://bit.ly/2b0KfUp  @uterope",3835620255,3835620255,CIVITAS Global,1470774316000,0,0,
7.63107216748585E+017,"si decir #NadieMenos está mal, ¿qué pueden hacer los hombres en la marcha #NiUnaMenos? http://pasajero.utero.pe/2016/08/09/que-hacemos-los-hombres-en-niunamenos/ …pic.twitter.com/kUu6jPWn7Q",14165101,14165101,Útero.Pe,1470773912000,18,12,
7.63088407379706E+017,@jgodoym @NiUnaMenosPeru #NadieMenos,519075773,519075773,Angel Negro,1470769428000,0,0,
7.6308614667502E+017,#NadieMenos ¡Yo también me sumo en contra de la violencia a la mujer! NO MÁS.,930671748,930671748,Náthaly Lucila,1470768889000,0,1,
7.63082963705668E+017,"#NadieMenos, incluye a las niñas y niños no nacidos.
#NoAlAbortopic.twitter.com/PBSKLibJ0U",165490482,165490482,Nancy Claros,1470768130000,1,2,
7.63082569420247E+017,"#NadieMenos, incluye a las niñas y niños no nacidos.
#NoAlAborto http://fb.me/1i1kW1NHg ",165490482,165490482,Nancy Claros,1470768036000,0,0,
7.63081201838092E+017,Y para cuando una marcha de #NiUNOmenos tal vez sería mejor #Nadiemenos no sólo las mujeres son maltratadas https://twitter.com/nelljuami/status/763080455738560514 …,2172458473,2172458473,juan flores leon,1470767710000,0,0,
7.63072905567764E+017,"NO a FEMINAZIS Misándricas... #NadieMenos
@aisia_ess @LaSara007 @layucadesusy @gabrielitaaa10 @Arianallna123 @gonzalez_3255 @Oscar1371Oscar",3301075115,3301075115,Amino Mecum Be,1470765732000,1,1,
7.63070370958148E+017,"@andre_ebn @elvisocc para empezar, debiese ser #nadiemenos y no #niunamenos... no solo las mujeres sufren de violencia",161068425,161068425,Senator Lott Dod,1470765128000,0,1,
7.63068718335361E+017,"Shhhh!! #NadieMenos... RARARA!!
@aisia_ess @neohelden @LaSara007 @layucadesusy @DorisAzores @gabrielitaaa10 @Arianallna123 @gonzalez_3255",3301075115,3301075115,Amino Mecum Be,1470764734000,2,2,
7.63047476446106E+017,#NadieMenos ojo con la vocera https://twitter.com/AminoMecumBe/status/763039171392966656 …,1881000559,1881000559,Un dia a la vez,1470759669000,0,1,
7.63039171392967E+017,#NadieMenos @neohelden @lito0404 @LaSara007 @aisia_ess @layucadesusy @DorisAzores @gabrielitaaa10 @Arianallna123pic.twitter.com/llP3Vrs9bz,3301075115,3301075115,Amino Mecum Be,1470757689000,4,7,
7.63020459139096E+017,#NadieMenos marcha del 13 de agosto #NiUnaMenos  es pura hipocrecia las que apoyan esta marcha estan contra la mujerpic.twitter.com/oRj9oTWAwa,304816094,304816094,malcom_x1x,1470753228000,2,0,
7.630173117249E+017,"¿A cuantos tuits están los idiotas de #NadieMenos,de decir ""Así cómo marchas por #NiUnaMenos,marchases contra la delincuencia""?",637108769,637108769,CROGMIE,1470752477000,0,0,
7.63016339539816E+017,"#NadieMenos es la versión caleta del ""Hay cosas más importantes por las que reclamar o marchar"" 
#NiUnaMenos",637108769,637108769,CROGMIE,1470752246000,0,0,
7.63010763040653E+017,"#NadieMenos rechazemos TODA VIOLENCIA contra mujeres, hombres, niños y animales. pic.twitter.com/biqU1gzL8w",62600630,62600630,Raul Bracamonte,1470750916000,0,0,
7.63004031413387E+017,#NadieMenos en marcha contra la violencia y #NiUnaMas d las mentiras y los odios d marxistas y la progresia caviarhttps://twitter.com/eudmed/status/762850495866163205 …,393079381,393079381,Humberto Olaechea,1470749311000,0,1,
7.63001699782922E+017,Lógica simple. #NadieMenos http://fb.me/82NiNZP6G ,142035947,142035947,Victor Chumpitaz,1470748755000,0,0,
7.62836330648744E+017,@percyweiss #NadieMenos en la marcha contra la violencia y #NiUnaMas d las mentiras y odios d marxistas y la progresia caviar,393079381,393079381,Humberto Olaechea,1470709328000,3,7,
7.62818803638137E+017,"estoy d acuerdo, #NadieMenos y en la marcha contra la violencia #NiUnaMas d las mentiras y odios d los marxistas y progresia caviar",393079381,393079381,Humberto Olaechea,1470705149000,0,0,
7.62815282372948E+017,@Agencia_Andina #NadieMenos 13A,519075773,519075773,Angel Negro,1470704310000,0,0,
7.62815173153272E+017,#NadieMenos 13A,519075773,519075773,Angel Negro,1470704284000,0,0,
7.62810385237848E+017,@LasParejasR aparte de infiltrados en #NiUnaMenos. Tampoco faltan gente de la TV repitiendo el libreto. #NadieMenos pic.twitter.com/DFq22UXD0S,337475215,337475215,Ángel Eléctrico,1470703142000,0,0,
7.62808818925445E+017,#NadieMenos: Siguen saliendo pruebas de que #NiUnaMenos está profundamente infiltrada por el lobby gay y el lobby... http://fb.me/7fIAYbfIi ,526897330,526897330,AURA,1470702769000,1,1,
7.63520550962594E+017,"#NadieMenos, si. Pero HOY es #NiUnaMenos. No son luchas excluyentes pero empecemos paso a paso.",50198488,50198488,@funesmemoriosa,1470872459000,0,1,
7.63516220964561E+017,"Si tanto nos importara erradicar la violencia, #NadieMenos hubiera existido antes de que se proponga #NiUnaMenos. No jodan! #DobleMoral",7.62565663273656E+017,7.62565663273656E+017,Alejandra Guevara,1470871427000,0,1,
7.63489829350801E+017,"ja ja ja hay q buscar a ese y enviarlo por la sombra,porque si esa mierda por el sol se seca,besos tocaya y #NadieMenos",198163011,198163011,Margarita_Patricia,1470865134000,0,4,
7.63487525163962E+017,"Ni mujeres, ni hombres, ni niños.

#NadieMenos",901308217,901308217,Jesús López.,1470864585000,3,3,
7.63476095727464E+017,#Nadiemenos,2564416770,2564416770,ssilvana,1470861860000,0,0,
7.63468520604652E+017,las amas de casa no podemos asistir #NadieMenos pic.twitter.com/ODW3DAZLIE,198163011,198163011,Margarita_Patricia,1470860054000,15,13,
7.63454677115671E+017,#NadieMenos pic.twitter.com/VtmtonkBdC,1002177888,1002177888,Luis Céspedes,1470856753000,0,0,
7.63453753831731E+017,"Hay que luchar porque se erradique toda clase de violencia, no sólo de un sector de la sociedad #NadieMenos https://twitter.com/LasParejasR/status/763391177357950976 …",7.37860399232606E+017,7.37860399232606E+017,Angélica G De León,1470856533000,0,0,
7.63453318295351E+017,"No, lean el catecismo de la Iglesia (q Uds no siguen) y verán que no. #NadieMenos desde el vientre materno! #EstoyContigoCipriani",1166649440,1166649440,Danele N. G.,1470856430000,0,1,
7.63452950706553E+017,"Ahora x no apoyar una marcha #NiUnaMenos me voy a volver feminicida, abusador, etc? Ja ja #NadieMenos",467462899,467462899,Sergio Ramos,1470856342000,0,0,
7.63449951565132E+017,#Nadiemenos https://twitter.com/desdeurbania/status/763446251971080192 …,991709622,991709622,Vanessa Pollack,1470855627000,0,0,
7.6344625197108E+017,"#NadieMenos Un bebé engendrado es un ser humano en su etapa màs dependiente e indefensa, protejamos su vida !!! https://twitter.com/surferpunks/status/748671811441860608 …",343181677,343181677,Dario Enriquez,1470854745000,3,4,
7.63443671467459E+017,"No me extrañaría si la campaña #NadieMenos fuese Fujimorista. Total, han estado actuando así desde hace rato, si o no? #Cipriani o #Becerril",753586058,753586058,Kevo⚡,1470854130000,0,0,
7.63432428782232E+017,"#Incoherencias
#QueNoTeMirenLaCara
#NadieMenos http://fb.me/vAMdMAsi ",60693272,60693272,Kellyta,1470851449000,0,0,
7.63430037337023E+017,"Así de estúpidos se leen señores de #NadieMenos, tratando de desvirtuar de lo que realmente se trata #NiUnaMenoshttps://twitter.com/elpanfletope/status/763402777628438528 …",36523672,36523672,Vanessa Ramos,1470850879000,2,1,
7.63423487566369E+017,La campaña de #NadieMenos es solo una muestra de cómo en este país se invisibilizan y minimizan asuntos importantes con pretextos como este,2431787415,2431787415,cosima,1470849317000,5,9,
7.63419975352742E+017,"""cardiologo? Acaso la prostatitis no mata? QUE OCULTAS! Ideología del miocardio!!!! #NadieMenos!!!""",71035410,71035410,Renz,1470848480000,0,1,
7.63418839652659E+017,#nadiemenos #niunomenos ? ¿Tan difícil es entender la razón de la marcha? #niunAmenos #noalmachismo,2426134962,2426134962,vale,1470848209000,0,1,
7.63416078869492E+017,#NiUnaMenos #NadieMenos pic.twitter.com/iA7iL4s6D1,71168302,71168302,Junior Vallejos S.,1470847551000,0,0,
7.63415829652398E+017,"-¡No al SIDA!
-¿SIDA? Hay gente que tiene gripe. ¿Por qué discriminas? ¿Qué escondes?No a las enfermedades. #NadieMenos",2252923388,2252923388,El Panfleto Perú,1470847492000,56,59,
7.63415172379775E+017,- Eres cardiólogo? Y xq no luchas contra la pulmonia? La bronquitis tb mata. Hipocrita discriminador!!!! #NadieMenos!!!!,71035410,71035410,Renz,1470847335000,2,6,
7.63414068111835E+017,"-¡No a muertes por friaje!
-¿Por qué solo por friaje? La gente muere de muchas formas. ¿Qué escondes? No a la muerte en general. #NadieMenos",2252923388,2252923388,El Panfleto Perú,1470847072000,87,100,
7.63413462777229E+017,Excelente noticia. Espero que organizadores brinden a @KeikoFujimori y @karinaCalmet garantias del caso. #NadieMenos https://twitter.com/YoDesinformo/status/763411990211620864 …,51164459,51164459,Miklos Lukacs,1470846927000,30,53,
7.6341093223619E+017,"- ¡No al terrorismo!
- ¿Por qué solo terrorismo? ¿Qué escondes? Todas las violencias son malas. No a la violencia en general. #NadieMenos",2252923388,2252923388,El Panfleto Perú,1470846324000,43,65,
7.63410464160244E+017,#nadiemenos *la escupe*,212090582,212090582,♦️ Harley Quinn ♦️,1470846212000,0,0,
7.63409428334965E+017,#NiUnaMenos < #NadieMenos,56700625,56700625,Lucero,1470845965000,0,1,
7.63409237494071E+017,Es importante estar bien informados del verdadero trasfondo de la Campaña #NiUnaMenos http://ow.ly/FSiz3036XvQ  Yo apuesto por #NadieMenos,55131614,55131614,Pepe Farfan,1470845920000,0,1,
7.63391177357951E+017,#NadieMenos: Así cae la fachada de no violencia de campaña abortista #NiUnaMenos. ¡No pueden dejar de leer y... http://fb.me/MQCKfQDQ ,2216236045,2216236045,Parejas Reales,1470841614000,13,6,
7.63380366438699E+017,Amar la Verdad te hace reconocer la campaña abortista encubierta con la tendencia #NiUnaMenos. Por eso es mejor decir #NadieMenos.,245639454,245639454,Javi #Beard ن ✞,1470839036000,0,0,
7.63375987753161E+017,Me pareció excelente. Pero pido el mismo respeto y trato hacia el género masculino. #NadieMenos pic.twitter.com/cnTbhhRln5,150005196,150005196,Juan Tomás Kucharski,1470837992000,0,0,
7.63370496222192E+017,"Muy tarde, ya dijeron q no y amenazaron a Ursula Letona, fujimoristas no pueden ir. Catolicos, tampoco #NadieMenos",343181677,343181677,Dario Enriquez,1470836683000,1,0,
7.63369176908046E+017,"#NadieMenos A contiene a B, algunos sòlo ven B y otros sòlo quieren ver B. Por eso decimos #NadieMenos pic.twitter.com/USL75TxGsT",343181677,343181677,Dario Enriquez,1470836369000,3,3,
7.63368460286095E+017,https://www.facebook.com/NadieMenosPeru/  Nos unimos a la campaña #NadieMenos luchamos contra todo tipo de violencia hacia todo ser humano.,1071664034,1071664034,CONAPFAM,1470836198000,0,1,
7.63366592772207E+017,Nadie menos... sin discriminar #nadiemenos pic.twitter.com/TNyOlDsFFM,7.50032999064998E+017,7.50032999064998E+017,Jesús Obrero Parro,1470835753000,0,0,
7.63363070483849E+017,The latest Zero Hour! http://paper.li/richardmilles/1375459822?edition_id=7740e510-5efc-11e6-acd6-0cc47a0d1609 … Thanks to @reinadecapitada #nadiemenos #niunamenos,881594790,881594790,Ricardo Milla,1470834913000,0,0,
7.63348892339544E+017,Si se trata de combatir la violencia porque mejor #NadieMenos http://fb.me/QiIhWa3S ,2801918682,2801918682,Resistencia Xauxa,1470831532000,0,0,
7.63237702154191E+017,"#NadieMenos Los grupos q apoyan la marcha por la no violencia a la mujer, no defienden a los mas desvalidos: NIÑOS POR NACER. ¿ES COHERENTE?",1018393945,1018393945,Gigi,1470805023000,0,0,
7.63232010949235E+017,"por eso, el Ni una menos habla de la violencia de género en específico. No el mismo rollo de #nadiemenos que se vienen planteando",2936124665,2936124665,luz z z,1470803666000,0,0,
