b'767731809987723264',b'Es triste pero cuando despiertes agradecele a dios y la vida por vivir un dia mas en esta ciudad. Que nos paso? #RosarioSangra',b'319976202',b'319976202',b'Emi.S',b'1471876501000.0',b'1',b'1',,,
b'767715270941110272',b'#RosarioCiudadLiberada #RosarioSangra pic.twitter.com/ptBIpaaT4F',b'1123286467',b'1123286467',b'Karolina \xe2\x9c\x8c',b'1471872558000.0',b'7',b'5',,,
b'768158676859383808',"b'#RosarioSangra 25/08 19:30 frente a tribunales,debemos estar todos'",b'572139011',b'572139011',b'7 estrellas',b'1471978274000.0',b'0',b'0',,,
b'768143327078322176',b'#RosarioSangra Ayudanos RT #NiUnoMenos @CeSanz1 @LuisBeld @majulluis @ComunidadMitre @charlie_cardozo @LuchoBugallopic.twitter.com/w8uLPRfrjZ',b'58327643',b'58327643',b'#BastaDeMafia',b'1471974615000.0',b'14',b'7',,,
b'768109195321286664',"b'#RosarioSangra todos somos victimas,porque si no nos toco,vivimos pensando si nos tocara! pic.twitter.com/lAqjNBZlm0'",b'572139011',b'572139011',b'7 estrellas',b'1471966477000.0',b'2',b'0',,,
b'768108019867611136',b'#RosarioSangra',b'572139011',b'572139011',b'7 estrellas',b'1471966197000.0',b'0',b'0',,,
b'768107654124343300',"b'MARCHA \nJUEVES 25 DE AGOSTO A LAS 19:30, EN LOS TRIBUNALES\n#RosarioSangra'",b'101589427',b'101589427',b'Victor Bilsky',b'1471966110000.0',b'1',b'2',,,
b'768094096154034176',"b'#RosarioSangra 25/08 19:30 frente a tribunales,digamos basta!'",b'572139011',b'572139011',b'7 estrellas',b'1471962877000.0',b'0',b'0',,,
b'768093802506678272',"b'#RosarioSangra porque hasta que no nos toca,no decimos nada en general'",b'572139011',b'572139011',b'7 estrellas',b'1471962807000.0',b'0',b'0',,,
b'768093606875893760',b'#RosarioSangra culpa de los narcos protegidos por muchos sectores',b'572139011',b'572139011',b'7 estrellas',b'1471962761000.0',b'0',b'0',,,
b'768093397068484608',b'#RosarioSangra culpa de la gente que negocia los botines de los ladrones asesinos (si venden es porque alguien compra)',b'572139011',b'572139011',b'7 estrellas',b'1471962711000.0',b'0',b'0',,,
b'768093028984754177',b'#RosarioSangra culpa de la gente q encubre a esos ladrones asesinos',b'572139011',b'572139011',b'7 estrellas',b'1471962623000.0',b'0',b'0',,,
b'768092895027101697',b'#RosarioSangra culpa de ladrones asesinos',b'572139011',b'572139011',b'7 estrellas',b'1471962591000.0',b'0',b'0',,,
b'768092769869041664',b'#RosarioSangra culpa de policias corruptos',b'572139011',b'572139011',b'7 estrellas',b'1471962561000.0',b'0',b'0',,,
b'768092677598539776',b'#RosarioSangra culpa de funcionarios politicos corruptos',b'572139011',b'572139011',b'7 estrellas',b'1471962539000.0',b'0',b'0',,,
b'768092557335207936',b'#RosarioSangra culpa de abogados corruptos',b'572139011',b'572139011',b'7 estrellas',b'1471962510000.0',b'0',b'0',,,
b'768092406394871808',b'#RosarioSangra culpa de jueces corruptos',b'572139011',b'572139011',b'7 estrellas',b'1471962474000.0',b'0',b'0',,,
b'768069426797244421',b'#RosarioSangra https://twitter.com/diarioporven/status/767701315908571136\xc2\xa0\xe2\x80\xa6',b'58327643',b'58327643',b'#BastaDeMafia',b'1471956996000.0',b'0',b'0',,,
b'767927834224562177',b'@JuliaUrbani @edufeiok #RosarioSangra https://youtu.be/4I6Zia5n2f4\xc2\xa0 v\xc3\xada @YouTube',b'140822223',b'140822223',b'MIRIAM Rosarina',b'1471923237000.0',b'3',b'0',,,
b'767926036508110848',b'sip #RosarioSangra',b'721069992',b'721069992',b'Julia Urbani',b'1471922809000.0',b'2',b'3',,,
b'767925678394241024',"b'@JuliaUrbani Ayudanos a difundir Julia, 25/8 19,30 HS MARCHA PIDIENDO SEGURIDAD, Tribunales, #RosarioSangra y nadie nos escucha'",b'140822223',b'140822223',b'MIRIAM Rosarina',b'1471922723000.0',b'16',b'2',,,
b'767910905451581441',"b'Verguenza como pasan la pelota en Santa Fe, Los jueces, los ficales el ministro de seguridad, la intendente y el gobernador, #RosarioSangra'",b'140822223',b'140822223',b'MIRIAM Rosarina',b'1471919201000.0',b'24',b'13',,,
b'767895692388003840',b'#LunesIntratable #RosarioSangra difundir x favor!!! Gracias https://twitter.com/ActosSolidarios/status/767873956414095361\xc2\xa0\xe2\x80\xa6',b'1227016740',b'1227016740',b'Viviana Molina',b'1471915574000.0',b'6',b'5',,,
b'767886919367819264',"b'Gente, la indiferencia genera impunidad. No esperemos a perder un ser querido para tomar conciencia #rosariosangra pic.twitter.com/QJIeh7YqtO'",b'3428717255',b'3428717255',b'Diego Del Parque',b'1471913482000.0',b'26',b'28',,,
b'767878548849844224',b'Todos unidos! #RosarioSangra RT @luisnovaresio @radioboing @vivi_molinaASZ @ActosSolidarios @Vale975 @analiabocassihttps://twitter.com/ActosSolidarios/status/767873956414095361\xc2\xa0\xe2\x80\xa6',b'221751129',b'221751129',b'solcis',b'1471911487000.0',b'6',b'5',,,
b'767878076164370432',b'#RosarioSangra RT! @analiabocassi @fcdesdelejosarg @FMvidaRosario @DSolidarias @delsiglo995 @luisnovaresiohttps://twitter.com/ActosSolidarios/status/767875549352034304\xc2\xa0\xe2\x80\xa6',b'221751129',b'221751129',b'solcis',b'1471911374000.0',b'6',b'7',,,
b'767875549352034304',b'@analiabocassi @Yojuanjunco Nos dan RT para difundir la convocatoria #RosarioSangra del 25/ 08 19:30hs #Tribunalespic.twitter.com/gD3julbZL7',b'760493700866777088',b'760493700866777088',b'SolidariosdeCoraz\xc3\xb3n',b'1471910772000.0',b'8',b'7',,,
b'768590366597578752',"b'Todos,directa o indirectamente fuimos victimas de la inseguridad,x eso #RosarioSangra https://twitter.com/ABCfilmaciones/status/768535192101384192\xc2\xa0\xe2\x80\xa6'",b'572139011',b'572139011',b'7 estrellas',b'1472081197000.0',b'0',b'0',,,
b'768584138181971968',"b'#RosarioMarcha todos a pedir mayor seguridad por cada uno de nosotros, x nuestros hijos! Basta de muertes inocentes. #Rosariosangra '",b'224232860',b'224232860',b'Barbara Bellizia',b'1472079712000.0',b'0',b'0',,,
b'768562700649631744',"b'No olvidemos q #RosarioSangra por culpa de funcionarios,jueces,policias y gente complices de los asesinos delincuentes!ma\xc3\xb1ana 19:30'",b'572139011',b'572139011',b'7 estrellas',b'1472074601000.0',b'0',b'0',,,
b'768509181376823296',b'#RosarioMarcha Nos unimos a la convocatoria #RosarioSangra el 25/ 08 19 : 30 hs en #Tribunalespic.twitter.com/hCyJQAnvrb',b'760493700866777088',b'760493700866777088',b'SolidariosdeCoraz\xc3\xb3n',b'1472061841000.0',b'17',b'10',,,
b'768482214443098112',b'#RosarioSangra el 25/8 19:30hs https://twitter.com/ActosSolidarios/status/768476796786475009\xc2\xa0\xe2\x80\xa6',b'732729337737285632',b'732729337737285632',b'Lola Soledad. \xf0\x9f\x92\x9a',b'1472055412000.0',b'2',b'5',,,
b'768476796786475009',b'Nos unimos a la convocatoria #RosarioSangra el 25/ 08 19 : 30 hs en #Tribunalespic.twitter.com/hCyJQAnvrb',b'760493700866777088',b'760493700866777088',b'SolidariosdeCoraz\xc3\xb3n',b'1472054120000.0',b'5',b'5',,,
b'768463173179543556',b'No olvidar q #RosarioSangra y todos somos victimas',b'572139011',b'572139011',b'7 estrellas',b'1472050872000.0',b'0',b'1',,,
b'768297518102786049',b'#RosarioSangra y debemos decir basta!!la puta madre! https://twitter.com/mainob76/status/768294623546486784\xc2\xa0\xe2\x80\xa6',b'572139011',b'572139011',b'7 estrellas',b'1472011377000.0',b'0',b'1',,,
b'768278435961696256',b'#RosarioSangra y debemos decir basta https://twitter.com/florenciaok/status/768238598730706948\xc2\xa0\xe2\x80\xa6',b'572139011',b'572139011',b'7 estrellas',b'1472006827000.0',b'0',b'0',,,
b'768266219787022336',b'cuanta impunidad que hay en Rosario. #RosarioSangra #RosarioCiudadLiberada @MarianoBarria',b'33427093',b'33427093',b'Belu MB',b'1472003915000.0',b'4',b'8',,,
b'768261428239138817',b'#RosarioNadieMenos #RosarioSangra  19.30hs en Tribunales @CeSanz1 @ComunidadMitre @EspacioCarrioSF @charlie_cardozopic.twitter.com/WapKrwNzfI',b'58327643',b'58327643',b'#BastaDeMafia',b'1472002772000.0',b'7',b'3',,,
b'768247512432074754',b'Nos unimos a la convocatoria #RosarioSangra el 25/ 08 19 : 30 hs en #Tribunales @emergenciasAR @RosSolidariapic.twitter.com/hCyJQAnvrb',b'760493700866777088',b'760493700866777088',b'SolidariosdeCoraz\xc3\xb3n',b'1471999454000.0',b'45',b'34',,,
b'768944917293006848',b'#RosarioSangra Por m\xc3\xa1s seguridad! pic.twitter.com/lbObF1QOJc',b'171323932',b'171323932',b'Pablo Castellano',b'1472165729000.0',b'199',b'184',,,
b'768945671793696769',"b'Una multitud marcha por Moreno al grito de ""seguridad"" #RosarioSangra pic.twitter.com/2TkK0IfiH8'",b'179990537',b'179990537',b'La Capital - Rosario',b'1472165909000.0',b'344',b'242',,,
b'768959846511149057',b'La \xc3\xbaltima vez que vi tanta gente autoconvocada fu\xc3\xa9 en el cierre de Alfons\xc3\xadn en el 83\n#RosarioSangra pic.twitter.com/yRKnX7fxZR',b'54336178',b'54336178',b'Mariano A Molinari',b'1472169288000.0',b'200',b'181',,,
